,value.Total.Energy.Emissions..CO2...Energy.,VALUE,
value.Horses.Emissions..CO2eq..from.N2O..Manure.management.,-0.500774644,TRUE,TRUE
value.Energy.for.power.irrigation.Emissions..CO2eq...Energy.,0.500019242,TRUE,TRUE
value.Swine..market.Emissions..N2O...Manure.management.,0.503645632,TRUE,TRUE
value.Swine..market.Emissions..CO2eq..from.N2O..Manure.management.,0.503710689,TRUE,TRUE
value.Horses.Emissions..CH4...Manure.management.,0.505763943,TRUE,TRUE
value.Horses.Emissions..CO2eq..from.CH4..Manure.management.,0.505824794,TRUE,TRUE
value.Motor.Gasoline.Emissions..N2O...Energy.,0.510298636,TRUE,TRUE
value.Cattle..non.dairy.Stocks,0.510460588,TRUE,TRUE
value.Energy.for.power.irrigation.Emissions..CH4...Energy.,0.512466559,TRUE,TRUE
value.Energy.for.power.irrigation.Consumption.in.Agriculture,0.51249916,TRUE,TRUE
value.Energy.for.power.irrigation.Emissions..CO2eq..from.CH4..Energy.,0.51249916,TRUE,TRUE
value.Energy.for.power.irrigation.Emissions..CO2eq..from.N2O..Energy.,0.512624281,TRUE,TRUE
value.All.Animals.Direct.emissions..N2O...Manure.on.pasture.,0.513082346,TRUE,TRUE
value.All.Animals.Direct.emissions..CO2eq...Manure.on.pasture.,0.513082346,TRUE,TRUE
value.Motor.Gasoline.Emissions..CH4...Energy.,0.513425119,TRUE,TRUE
value.Motor.Gasoline.Emissions..CO2eq...Energy.,0.513425119,TRUE,TRUE
value.Horses.Emissions..CO2eq...Manure.management.,0.51408359,TRUE,TRUE
value.Horses.Emissions..CH4...Enteric.,0.514138126,TRUE,TRUE
value.Horses.Emissions..CO2eq...Enteric.,0.514138126,TRUE,TRUE
value.Horses.Stocks,0.514138126,TRUE,TRUE
value.Sheep.and.Goats.Emissions..CH4...Enteric.,0.515479952,TRUE,TRUE
value.Sheep.and.Goats.Emissions..CO2eq...Enteric.,0.515479952,TRUE,TRUE
value.Motor.Gasoline.Consumption.in.Agriculture,0.51580105,TRUE,TRUE
value.Horses.Indirect.emissions..N2O.that.leaches...Manure.on.pasture.,0.516728581,TRUE,TRUE
value.Horses.Indirect.emissions..N2O.that.volatilises...Manure.on.pasture.,0.516739262,TRUE,TRUE
value.Swine.Emissions..N2O...Manure.management.,0.517129581,TRUE,TRUE
value.Swine.Emissions..CO2eq..from.N2O..Manure.management.,0.517431268,TRUE,TRUE
value.Horses.Emissions..N2O...Manure.on.pasture.,0.517531688,TRUE,TRUE
value.Horses.Direct.emissions..N2O...Manure.on.pasture.,0.51755029,TRUE,TRUE
value.Horses.Manure..N.content.that.leaches...Manure.on.pasture.,0.517561441,TRUE,TRUE
value.Horses.Manure..N.content.that.volatilises...Manure.on.pasture.,0.517561441,TRUE,TRUE
value.Horses.Manure..N.content...Manure.on.pasture.,0.517561441,TRUE,TRUE
value.Horses.Direct.emissions..CO2eq...Manure.on.pasture.,0.517561441,TRUE,TRUE
value.Horses.Indirect.emissions..CO2eq...Manure.on.pasture.,0.517561441,TRUE,TRUE
value.Horses.Emissions..CO2eq...Manure.on.pasture.,0.517561441,TRUE,TRUE
value.All.Animals.Emissions..N2O...Manure.on.pasture.,0.517829234,TRUE,TRUE
value.All.Animals.Emissions..CO2eq...Manure.on.pasture.,0.517829234,TRUE,TRUE
value.Motor.Gasoline.Emissions..CO2eq..from.CH4..Energy.,0.518000339,TRUE,TRUE
value.Motor.Gasoline.Emissions..CO2eq..from.N2O..Energy.,0.518000339,TRUE,TRUE
value.Motor.Gasoline.Emissions..CO2...Energy.,0.518000339,TRUE,TRUE
value.Horses.Indirect.emissions..N2O...Manure.on.pasture.,0.518579886,TRUE,TRUE
value.Sheep.Manure..N.content.that.leaches...Manure.on.pasture.,0.520003384,TRUE,TRUE
value.Sheep.Manure..N.content.that.volatilises...Manure.on.pasture.,0.520003384,TRUE,TRUE
value.Sheep.Manure..N.content...Manure.on.pasture.,0.520003384,TRUE,TRUE
value.Sheep.Direct.emissions..CO2eq...Manure.on.pasture.,0.520003384,TRUE,TRUE
value.Sheep.Indirect.emissions..CO2eq...Manure.on.pasture.,0.520003384,TRUE,TRUE
value.Sheep.Emissions..CO2eq...Manure.on.pasture.,0.520003384,TRUE,TRUE
value.Sheep.Emissions..N2O...Manure.on.pasture.,0.52007483,TRUE,TRUE
value.Sheep.Direct.emissions..N2O...Manure.on.pasture.,0.520152594,TRUE,TRUE
value.Sheep.Indirect.emissions..N2O...Manure.on.pasture.,0.521305337,TRUE,TRUE
value.Sheep.Indirect.emissions..N2O.that.leaches...Manure.on.pasture.,0.521742218,TRUE,TRUE
value.Sheep.Indirect.emissions..N2O.that.volatilises...Manure.on.pasture.,0.521924479,TRUE,TRUE
value.Sheep.Stocks,0.523208308,TRUE,TRUE
value.Horses.Direct.emissions..N2O...Manure.applied.,0.524386951,TRUE,TRUE
value.Horses.Emissions..N2O...Manure.applied.,0.525311256,TRUE,TRUE
value.Cattle..dairy.Indirect.emissions..N2O...Manure.on.pasture.,0.526146425,TRUE,TRUE
value.All.Animals.Indirect.emissions..N2O.that.leaches...Manure.on.pasture.,0.526177162,TRUE,TRUE
value.All.Animals.Indirect.emissions..N2O.that.volatilises...Manure.on.pasture.,0.526177162,TRUE,TRUE
value.All.Animals.Manure..N.content.that.leaches...Manure.on.pasture.,0.526177162,TRUE,TRUE
value.All.Animals.Manure..N.content.that.volatilises...Manure.on.pasture.,0.526177162,TRUE,TRUE
value.All.Animals.Manure..N.content...Manure.on.pasture.,0.526177162,TRUE,TRUE
value.All.Animals.Indirect.emissions..N2O...Manure.on.pasture.,0.526177162,TRUE,TRUE
value.All.Animals.Indirect.emissions..CO2eq...Manure.on.pasture.,0.526177162,TRUE,TRUE
value.Cattle..dairy.Manure..N.content.that.leaches...Manure.on.pasture.,0.526249382,TRUE,TRUE
value.Cattle..dairy.Manure..N.content.that.volatilises...Manure.on.pasture.,0.526253987,TRUE,TRUE
value.Cattle..dairy.Manure..N.content...Manure.on.pasture.,0.526253987,TRUE,TRUE
value.Cattle..dairy.Indirect.emissions..CO2eq...Manure.on.pasture.,0.526253987,TRUE,TRUE
value.Cattle..dairy.Direct.emissions..CO2eq...Manure.on.pasture.,0.52625785,TRUE,TRUE
value.Cattle..dairy.Emissions..CO2eq...Manure.on.pasture.,0.52625785,TRUE,TRUE
value.Cattle..dairy.Emissions..N2O...Manure.on.pasture.,0.526385318,TRUE,TRUE
value.Cattle..dairy.Direct.emissions..N2O...Manure.on.pasture.,0.526419153,TRUE,TRUE
value.Horses.Indirect.emissions..N2O...Manure.applied.,0.526596263,TRUE,TRUE
value.Cattle..dairy.Indirect.emissions..N2O.that.leaches...Manure.on.pasture.,0.527158392,TRUE,TRUE
value.Cattle..dairy.Indirect.emissions..N2O.that.volatilises...Manure.on.pasture.,0.527439429,TRUE,TRUE
value.Horses.Direct.emissions..N2O...Manure.management.,0.528073326,TRUE,TRUE
value.Horses.Emissions..N2O...Manure.management.,0.528073326,TRUE,TRUE
value.Sheep.Emissions..CO2eq..from.CH4..Manure.management.,0.534313556,TRUE,TRUE
value.Sheep.Emissions..CH4...Manure.management.,0.534404122,TRUE,TRUE
value.Swine..market.Indirect.emissions..N2O...Manure.applied.,0.534591086,TRUE,TRUE
value.Swine..market.Manure..N.content...Manure.applied.,0.534819152,TRUE,TRUE
value.Swine..market.Direct.emissions..CO2eq...Manure.applied.,0.534819152,TRUE,TRUE
value.Swine..market.Indirect.emissions..CO2eq...Manure.applied.,0.534819152,TRUE,TRUE
value.Swine..market.Emissions..CO2eq...Manure.applied.,0.534819152,TRUE,TRUE
value.Swine..market.Emissions..N2O...Manure.applied.,0.534955287,TRUE,TRUE
value.Swine..market.Direct.emissions..N2O...Manure.applied.,0.535006002,TRUE,TRUE
value.Sheep.and.Goats.Emissions..CO2eq...Manure.management.,0.537040379,TRUE,TRUE
value.All.Crops.Biomass.burned..dry.matter.,0.540543787,TRUE,TRUE
value.All.Crops.Emissions..CO2eq...Burning.crop.residues.,0.540543787,TRUE,TRUE
value.All.Crops.Emissions..CH4...Burning.crop.residues.,0.540544214,TRUE,TRUE
value.All.Crops.Emissions..CO2eq..from.N2O..Burning.crop.residues.,0.540544214,TRUE,TRUE
value.All.Crops.Emissions..CO2eq..from.CH4..Burning.crop.residues.,0.540544214,TRUE,TRUE
value.All.Crops.Emissions..N2O...Burning.crop.residues.,0.540727464,TRUE,TRUE
value.Cattle..non.dairy.Emissions..CH4...Enteric.,0.542354729,TRUE,TRUE
value.Cattle..non.dairy.Emissions..CO2eq...Enteric.,0.542354729,TRUE,TRUE
value.Cattle.Stocks,0.543004952,TRUE,TRUE
value.Swine.Indirect.emissions..N2O...Manure.applied.,0.545894433,TRUE,TRUE
value.Swine.Manure..N.content...Manure.applied.,0.545971461,TRUE,TRUE
value.Swine.Direct.emissions..CO2eq...Manure.applied.,0.545971461,TRUE,TRUE
value.Swine.Indirect.emissions..CO2eq...Manure.applied.,0.545971461,TRUE,TRUE
value.Swine.Emissions..CO2eq...Manure.applied.,0.545971461,TRUE,TRUE
value.Swine.Direct.emissions..N2O...Manure.applied.,0.546076024,TRUE,TRUE
value.Swine.Emissions..N2O...Manure.applied.,0.546133075,TRUE,TRUE
value.Ducks.Emissions..CO2eq..from.CH4..Manure.management.,0.547862877,TRUE,TRUE
value.Ducks.Emissions..CH4...Manure.management.,0.547899198,TRUE,TRUE
value.Camels.Implied.emission.factor.for.N2O..Manure.management.,0.548081467,TRUE,TRUE
value.Sheep.Emissions..CH4...Enteric.,0.549295675,TRUE,TRUE
value.Sheep.Emissions..CO2eq...Enteric.,0.549295675,TRUE,TRUE
value.Cattle..non.dairy.Indirect.emissions..CO2eq...Manure.management.,0.549524232,TRUE,TRUE
value.Ducks.Stocks,0.551508677,TRUE,TRUE
value.Swine..market.Manure..N.content...Manure.management.,0.552106773,TRUE,TRUE
value.Turkeys.Stocks,0.559051618,TRUE,TRUE
value.Swine.Manure..N.content...Manure.management.,0.560176001,TRUE,TRUE
value.Turkeys.Emissions..CO2eq..from.CH4..Manure.management.,0.560237096,TRUE,TRUE
value.Turkeys.Emissions..CH4...Manure.management.,0.562067731,TRUE,TRUE
value.Cattle..non.dairy.Indirect.emissions..N2O...Manure.management.,0.564004889,TRUE,TRUE
value.Swine..breeding.Direct.emissions..N2O...Manure.management.,0.564025585,TRUE,TRUE
value.Swine..breeding.Emissions..CH4...Manure.management.,0.564748812,TRUE,TRUE
value.Swine..breeding.Emissions..CO2eq..from.CH4..Manure.management.,0.564770736,TRUE,TRUE
value.Sheep.Emissions..CO2eq...Manure.management.,0.564977059,TRUE,TRUE
value.Swine..market.Emissions..CO2eq...Manure.management.,0.566031734,TRUE,TRUE
value.Swine..breeding.Direct.emissions..CO2eq...Manure.management.,0.566411576,TRUE,TRUE
value.Swine.Emissions..CH4...Manure.management.,0.569798887,TRUE,TRUE
value.Swine.Emissions..CO2eq..from.CH4..Manure.management.,0.569824367,TRUE,TRUE
value.Swine.Emissions..CO2eq...Manure.management.,0.570202281,TRUE,TRUE
value.Swine..market.Emissions..CH4...Manure.management.,0.570398536,TRUE,TRUE
value.Swine..market.Emissions..CO2eq..from.CH4..Manure.management.,0.570424016,TRUE,TRUE
value.Swine..breeding.Emissions..CO2eq...Manure.management.,0.571756355,TRUE,TRUE
value.Swine..breeding.Indirect.emissions..CO2eq...Manure.management.,0.572273233,TRUE,TRUE
value.Swine..breeding.Indirect.emissions..N2O...Manure.management.,0.573285493,TRUE,TRUE
value.Swine..breeding.Manure..N.content...Manure.management.,0.578107618,TRUE,TRUE
value.Swine..breeding.Indirect.emissions..N2O...Manure.applied.,0.581507397,TRUE,TRUE
value.Swine..breeding.Manure..N.content...Manure.applied.,0.582393852,TRUE,TRUE
value.Swine..breeding.Indirect.emissions..CO2eq...Manure.applied.,0.582406947,TRUE,TRUE
value.Swine..breeding.Direct.emissions..CO2eq...Manure.applied.,0.582413695,TRUE,TRUE
value.Swine..breeding.Emissions..CO2eq...Manure.applied.,0.582432415,TRUE,TRUE
value.Ducks.Emissions..CO2eq...Manure.management.,0.582543777,TRUE,TRUE
value.Swine..breeding.Emissions..CO2eq..from.N2O..Manure.management.,0.583186314,TRUE,TRUE
value.Swine..breeding.Emissions..N2O...Manure.management.,0.583546356,TRUE,TRUE
value.Swine..breeding.Emissions..N2O...Manure.applied.,0.583710316,TRUE,TRUE
value.Swine..breeding.Direct.emissions..N2O...Manure.applied.,0.583943734,TRUE,TRUE
value.Swine..breeding.Stocks,0.584003842,TRUE,TRUE
value.Swine..market.Stocks,0.584003842,TRUE,TRUE
value.Swine.Stocks,0.584003842,TRUE,TRUE
value.Turkeys.Emissions..CO2eq...Manure.management.,0.585831893,TRUE,TRUE
value.Turkeys.Direct.emissions..N2O...Manure.applied.,0.589296067,TRUE,TRUE
value.Turkeys.Indirect.emissions..N2O...Manure.applied.,0.590465893,TRUE,TRUE
value.Turkeys.Direct.emissions..CO2eq...Manure.management.,0.590540875,TRUE,TRUE
value.Turkeys.Manure..N.content...Manure.applied.,0.591018359,TRUE,TRUE
value.Turkeys.Direct.emissions..CO2eq...Manure.applied.,0.591018359,TRUE,TRUE
value.Turkeys.Indirect.emissions..CO2eq...Manure.applied.,0.591018359,TRUE,TRUE
value.Turkeys.Emissions..CO2eq...Manure.applied.,0.591018359,TRUE,TRUE
value.Turkeys.Emissions..N2O...Manure.applied.,0.591403709,TRUE,TRUE
value.Ducks.Direct.emissions..CO2eq...Manure.management.,0.591585086,TRUE,TRUE
value.Turkeys.Emissions..CO2eq..from.N2O..Manure.management.,0.591660493,TRUE,TRUE
value.Oats.Residues..Crop.residues.,0.59166621,TRUE,TRUE
value.Oats.Direct.emissions..CO2eq...Crop.residues.,0.59166621,TRUE,TRUE
value.Oats.Indirect.emissions..CO2eq...Crop.residues.,0.59166621,TRUE,TRUE
value.Oats.Emissions..CO2eq...Crop.residues.,0.59166621,TRUE,TRUE
value.Ducks.Indirect.emissions..N2O...Manure.applied.,0.591754143,TRUE,TRUE
value.Turkeys.Manure..N.content...Manure.management.,0.592039187,TRUE,TRUE
value.Ducks.Indirect.emissions..CO2eq...Manure.applied.,0.592046514,TRUE,TRUE
value.Ducks.Emissions..CO2eq...Manure.applied.,0.592046514,TRUE,TRUE
value.Oats.Emissions..N2O...Crop.residues.,0.592075476,TRUE,TRUE
value.Ducks.Manure..N.content...Manure.applied.,0.592357231,TRUE,TRUE
value.Ducks.Manure..N.content...Manure.management.,0.592357231,TRUE,TRUE
value.Ducks.Direct.emissions..CO2eq...Manure.applied.,0.592412564,TRUE,TRUE
value.Ducks.Emissions..CO2eq..from.N2O..Manure.management.,0.592453393,TRUE,TRUE
value.Ducks.Direct.emissions..N2O...Manure.applied.,0.59294606,TRUE,TRUE
value.Turkeys.Direct.emissions..N2O...Manure.management.,0.593017981,TRUE,TRUE
value.Oats.Indirect.emissions..N2O...Crop.residues.,0.593323365,TRUE,TRUE
value.Ducks.Emissions..N2O...Manure.applied.,0.593529018,TRUE,TRUE
value.Oats.Direct.emissions..N2O...Crop.residues.,0.594093793,TRUE,TRUE
value.Turkeys.Emissions..N2O...Manure.management.,0.59429919,TRUE,TRUE
value.Swine..breeding.Emissions..CH4...Enteric.,0.595387827,TRUE,TRUE
value.Swine..market.Emissions..CH4...Enteric.,0.595784211,TRUE,TRUE
value.Swine.Emissions..CH4...Enteric.,0.595784211,TRUE,TRUE
value.Swine..breeding.Emissions..CO2eq...Enteric.,0.595889817,TRUE,TRUE
value.Swine..market.Emissions..CO2eq...Enteric.,0.595889817,TRUE,TRUE
value.Swine.Emissions..CO2eq...Enteric.,0.595889817,TRUE,TRUE
value.Cattle.Emissions..CH4...Enteric.,0.596903194,TRUE,TRUE
value.Cattle.Emissions..CO2eq...Enteric.,0.596903194,TRUE,TRUE
value.Ducks.Emissions..N2O...Manure.management.,0.597435991,TRUE,TRUE
value.Ducks.Direct.emissions..N2O...Manure.management.,0.597655125,TRUE,TRUE
value.Swine.Indirect.emissions..N2O...Manure.management.,0.600520664,TRUE,TRUE
value.Swine..market.Indirect.emissions..N2O...Manure.management.,0.600572755,TRUE,TRUE
value.Swine..market.Indirect.emissions..CO2eq...Manure.management.,0.601050447,TRUE,TRUE
value.Swine.Indirect.emissions..CO2eq...Manure.management.,0.601141069,TRUE,TRUE
value.Cattle..dairy.Stocks,0.608536568,TRUE,TRUE
value.Barley.Residues..Crop.residues.,0.610839646,TRUE,TRUE
value.Barley.Direct.emissions..CO2eq...Crop.residues.,0.610839646,TRUE,TRUE
value.Barley.Emissions..CO2eq...Crop.residues.,0.610839646,TRUE,TRUE
value.Barley.Indirect.emissions..CO2eq...Crop.residues.,0.610921292,TRUE,TRUE
value.Barley.Emissions..N2O...Crop.residues.,0.61093685,TRUE,TRUE
value.Barley.Direct.emissions..N2O...Crop.residues.,0.611394735,TRUE,TRUE
value.Cattle..non.dairy.Emissions..CH4...Manure.management.,0.611456932,TRUE,TRUE
value.Cattle..non.dairy.Emissions..CO2eq..from.CH4..Manure.management.,0.611456932,TRUE,TRUE
value.Barley.Indirect.emissions..N2O...Crop.residues.,0.613401068,TRUE,TRUE
value.Chickens..broilers.Emissions..CO2eq..from.CH4..Manure.management.,0.61788058,TRUE,TRUE
value.Chickens..broilers.Emissions..CH4...Manure.management.,0.617959111,TRUE,TRUE
value.All.Animals.Emissions..CH4...Enteric.,0.629752062,TRUE,TRUE
value.All.Animals.Emissions..CO2eq...Enteric.,0.629752062,TRUE,TRUE
value.Transport.fuel.used.in.agriculture..excl..fishery..Emissions..CO2eq..from.N2O..Energy.,0.639979889,TRUE,TRUE
